"Age"	"P3"	"P10"	"P25"	"P50"	"P75"	"P90"	"P97"
0 mois	1.29	1.77	2.13	3.38	3.68	4.01	4.52	
1 mois	2.75	3.31	3.76	4.15	4.59	5.04	5.37
2 mois	3.61	4.21	4.71	5.19	5.71	6.22	6.78
3 mois	4.22	4.85	5.39	5.93	6.50	7.06	7.67
4 mois	4.69	5.35	5.92	6.50	7.12	7.71	8.36
5 mois	5.08	5.75	6.35	6.97	7.62	8.25	8.93
6 mois	5.40	6.10	6.71	7.36	8.04	8.70	9.41
7 mois	5.68	6.39	7.02	7.71	8.41	9.09	9.82
8 mois	5.93	6.66	7.30	8.01	8.73	9.43	10.19
9 mois	6.16	6.89	7.55	8.28	9.02	9.74	10.51
10 mois	6.36	7.10	7.78	8.52	9.29	10.02	10.81
11 mois	6.54	7.30	7.98	8.74	9.53	10.27	11.08
12 mois	6.71	7.47	8.17	8.95	9.75	10.51	11.33
13 mois	6.87	7.64	8.34	9.14	9.95	10.72	11.56
14 mois	7.01	7.79	8.51	9.32	10.14	10.92	11.77
15 mois	7.15	7.94	8.66	9.48	10.32	11.11	11.97
16 mois	7.28	8.07	8.80	9.64	10.49	11.29	12.16
17 mois	7.40	8.20	8.94	9.78	10.64	11.46	12.33
18 mois	7.51	8.32	9.06	9.92	10.79	11.62	12.50

